Site,geo_point,Geo Shape,Shape__Length
Arena Paris Sud,"48.83236574900095, 2.288246250019819","{""coordinates"": [[2.28858263350405, 48.8326525940608], [2.28840753029562, 48.8324567845114], [2.28804594941059, 48.8323352528946], [2.28805087577161, 48.8322160407733], [2.28810426983549, 48.8320197251107]], ""type"": ""LineString""}",137.513492845666
CPL,"48.89698945259692, 2.3595827174084816","{""coordinates"": [[2.3594873820234, 48.8965389534854], [2.3596388559466, 48.8965469019815], [2.3595323903141, 48.8975644094808]], ""type"": ""LineString""}",189.61667309013657
GRPouLCO,"48.86938679310403, 2.3081849182852223","{""coordinates"": [[2.30924655034025, 48.8687398762214], [2.30918691118855, 48.8690875023565], [2.30689032324892, 48.869821395523], [2.30689759870442, 48.8698166784743]], ""type"": ""LineString""}",344.5685318184175
Stade Roland-Garros,"48.848743651873534, 2.2423115053941833","{""coordinates"": [[2.24273943692066, 48.848493844301], [2.24224299555528, 48.8485154492272], [2.24214822419113, 48.8492801233042]], ""type"": ""LineString""}",185.1710139485828
Stade de France,"48.920564636037184, 2.361980947064503","{""coordinates"": [[2.36227390123751, 48.918220726824], [2.3622335345419, 48.9187711422839], [2.36200782025037, 48.9198559243528], [2.36183715022786, 48.9215267711974], [2.36182771522241, 48.9229217217205]], ""type"": ""LineString""}",798.8484463038844
Parc des Princes,"48.83933838971299, 2.2625521139352127","{""coordinates"": [[2.25557052687462, 48.8385788053081], [2.25562312682776, 48.8386006746644], [2.2558659423474, 48.8384094374989], [2.25623407644239, 48.8383788889847], [2.25664663312651, 48.8385699181449], [2.2567363496706, 48.8386490026677], [2.25670703225296, 48.8387330583275], [2.25700896140986, 48.8387948998839], [2.25714008400029, 48.8385487121644], [2.25727849911422, 48.8385495712592], [2.25745936950678, 48.8384550340793], [2.25772855776651, 48.8382339738216], [2.25785395539367, 48.8382376082945], [2.26132982828207, 48.8393013877181], [2.26148722569627, 48.8393366260293], [2.2626691355223, 48.8397294120892], [2.26295385744994, 48.8397854210027], [2.26424396126711, 48.8404829703492], [2.26475271943333, 48.8407321490551], [2.26504339988621, 48.8405449948009], [2.26516142953141, 48.8406113966546], [2.26553825482679, 48.8404252476378], [2.26631312182795, 48.8400816296667], [2.2668784235514, 48.8398737878535], [2.26705047608112, 48.8398439308015], [2.2692962382403, 48.8388249248857], [2.26946178157748, 48.8387441738967], [2.26962600439119, 48.8389054416088]], ""type"": ""LineString""}",1912.619996620339
CPL,"48.898171039571174, 2.3687805970425915","{""coordinates"": [[2.37421200830691, 48.8969965997166], [2.37385931894659, 48.8976400807018], [2.37136275344831, 48.8976322646646], [2.37132433250358, 48.8985269523374], [2.37025262979323, 48.898512993561], [2.36997899038129, 48.8984598011208], [2.36412302396107, 48.8983431924733], [2.36262393068629, 48.8983072657725]], ""type"": ""LineString""}",1515.5596524825937
Trocadero,"48.86087472107609, 2.286792596444566","{""coordinates"": [[2.28792459060898, 48.859552413904], [2.28776717792343, 48.8596269115843], [2.28749500635865, 48.8594872771009], [2.28725889676264, 48.8593478567648], [2.2855208947414, 48.8598562348095], [2.28660369164554, 48.8613713272441], [2.28665917339411, 48.8615334670788], [2.28666273790916, 48.861799997456], [2.28678995462474, 48.8619911187108], [2.28839766589546, 48.8631047965147]], ""type"": ""LineString""}",958.7622781583145
Arena Champ-de-Mars,"48.84876208695251, 2.2991381394863475","{""coordinates"": [[2.29819483341959, 48.8492909315101], [2.29829567200517, 48.8491658141473], [2.29833269247636, 48.8489870872668], [2.30023850158926, 48.8484043091975]], ""type"": ""LineString""}",288.41357557219345
EIF,"48.85374149177653, 2.2896519772996378","{""coordinates"": [[2.2890307086762, 48.8543264197424], [2.28962592070535, 48.8537777911913], [2.2902619737406, 48.8531447948808]], ""type"": ""LineString""}",242.42415344175217
EIFouCDM,"48.85523089175295, 2.289511155088765","{""coordinates"": [[2.28981330029047, 48.8552932981251], [2.28920900988706, 48.8551684853808]], ""type"": ""LineString""}",70.50587184327895
GRP,"48.866453009946554, 2.310419644998415","{""coordinates"": [[2.31037334582866, 48.8684352010249], [2.31046594416817, 48.8644708188682]], ""type"": ""LineString""}",670.9548865016444
,"-17.786130465857667, -149.29858501770758","{""coordinates"": [[-149.307848320937, -17.7232418476444], [-149.306732521987, -17.7237937065355], [-149.30538873527, -17.7250328279487], [-149.305372642016, -17.7251120292324], [-149.305375324225, -17.7251886756026], [-149.305359230971, -17.72526532194], [-149.305297540164, -17.7253317487393], [-149.305187569594, -17.7253572975017], [-149.305099056697, -17.7253598523777], [-149.30503468368, -17.7253138646035], [-149.305002497172, -17.7252576573078], [-149.304991768336, -17.7251835658456], [-149.304970310664, -17.725086480435], [-149.304938124156, -17.725030273068], [-149.304602848029, -17.7246751442965], [-149.304420457816, -17.7244656435401], [-149.304380224681, -17.7243685577407], [-149.304313169455, -17.7242868012373], [-149.306059287524, -17.722899489886], [-149.306729839778, -17.7236864007731], [-149.307802723383, -17.7231141022887], [-149.308333800768, -17.7236812909733], [-149.308961437678, -17.7243915517506], [-149.309052632784, -17.724524405972], [-149.309041903948, -17.7246470405506], [-149.309015081858, -17.7247901141196], [-149.308966802096, -17.7249229680456], [-149.308972166514, -17.7251069194731], [-149.309015081858, -17.7251682365736], [-149.309111641383, -17.7252193341413], [-149.311305688357, -17.7259449180315], [-149.316289232706, -17.7276617808913], [-149.318595932458, -17.7284435612086], [-149.318783687089, -17.7284742191907], [-149.318848060106, -17.728525315816], [-149.318858788942, -17.7286019607267], [-149.318831966852, -17.7286683862894], [-149.318794415925, -17.7286990442331], [-149.318746136163, -17.7287245925155], [-149.318692491983, -17.7287705794147], [-149.318649576639, -17.7287961276869], [-149.318585203622, -17.7288574435254], [-149.318531559442, -17.7288983207394], [-149.318451093172, -17.7290005137336], [-149.318306253885, -17.7292048995472], [-149.31668619964, -17.7313867035817], [-149.315484570001, -17.7328531471033], [-149.314980314707, -17.7334407430559], [-149.314856933092, -17.7336502333208], [-149.314760373567, -17.7337984092139], [-149.314706729387, -17.7339312564622], [-149.314658449625, -17.7340589941081], [-149.314647720789, -17.7342224981619], [-149.314658449625, -17.734472863455], [-149.314883755182, -17.7358881872064], [-149.315098331903, -17.7368845275452], [-149.315629409288, -17.738923175891], [-149.315774248575, -17.7394085649343], [-149.316026376222, -17.7399194993483], [-149.316337512468, -17.7403946670452], [-149.31671302173, -17.7407523193188], [-149.3171207175, -17.7410844243619], [-149.317925380205, -17.741564698258], [-149.31929867122, -17.7423617457112], [-149.320602224801, -17.7431230249021], [-149.321111844514, -17.7434857809619], [-149.321535633539, -17.7439456115309], [-149.321878956292, -17.7444105501277], [-149.322957204316, -17.7458462320211], [-149.323429273103, -17.7464235670457], [-149.324094460939, -17.747235920255], [-149.324298308824, -17.7475680132728], [-149.324394868348, -17.7478592327967], [-149.324475334619, -17.7484007976693], [-149.324475334619, -17.7486817976652], [-149.324437783692, -17.7489219245848], [-149.324292944406, -17.7492948870341], [-149.323906706307, -17.7497955751276], [-149.32327370498, -17.7503371341419], [-149.32245831344, -17.7510728343288], [-149.321691201661, -17.7517574415086], [-149.321176217531, -17.7523092125535], [-149.320511029695, -17.7531215390517], [-149.320151613687, -17.7535762359222], [-149.319711731409, -17.7543323584972], [-149.319336222146, -17.754802379028], [-149.318649576639, -17.7554920808329], [-149.317952202295, -17.7562277598279], [-149.31772153232, -17.7564832032159], [-149.317576693033, -17.7566466867928], [-149.317442582582, -17.7568919118781], [-149.31734065864, -17.757397687555], [-149.317431853746, -17.7579800941391], [-149.317512320017, -17.7584398874716], [-149.317512320017, -17.7588945708271], [-149.31736748073, -17.7599980671988], [-149.317308472131, -17.7608307937504], [-149.317324565386, -17.7611475353474], [-149.317270921205, -17.7614540589396], [-149.317179726099, -17.7616941687198], [-149.316906140779, -17.7620875393654], [-149.31638579223, -17.7627567783458], [-149.315699146723, -17.7635332967724], [-149.314964221453, -17.7643711155041], [-149.314856933092, -17.7645345918722], [-149.314395593142, -17.7648717614094], [-149.313896702265, -17.7651169752189], [-149.313381718134, -17.7653928403528], [-149.312346385454, -17.7662153246149], [-149.311509536242, -17.7668947652823], [-149.311278866267, -17.7671246506379], [-149.311005280947, -17.7675282264362], [-149.310672687029, -17.7679931037584], [-149.310334728693, -17.7685754758412], [-149.310173796153, -17.7690250249236], [-149.309953855013, -17.7695103323232], [-149.309583710169, -17.7700518316562], [-149.30936376903, -17.7705524616559], [-149.308961437678, -17.7721258610991], [-149.308644937014, -17.7733110099767], [-149.30862884376, -17.7743429004446], [-149.308752225375, -17.7759673496046], [-149.308827327227, -17.7770043330137], [-149.309111641383, -17.7782354237311], [-149.309197472071, -17.7786134332867], [-149.309149192309, -17.7790067667051], [-149.309025810694, -17.7792877186167], [-149.308516190981, -17.779844512918], [-149.308140681719, -17.7804881445354], [-149.307684706187, -17.7815353180054], [-149.307454036212, -17.7820665646385], [-149.307341383433, -17.7826591070963], [-149.307255552745, -17.7829298370479], [-149.307099984622, -17.7830779721308], [-149.306906865573, -17.7831035126499], [-149.305217073893, -17.7831392693705], [-149.3049810395, -17.7832261070908], [-149.303956435657, -17.783946347732], [-149.303033755756, -17.7847738546709], [-149.302127169109, -17.7856320059656], [-149.301934050059, -17.7858618672195], [-149.301783846355, -17.7861887804932], [-149.301590727306, -17.7868426052455], [-149.301381515002, -17.7871490847741], [-149.301118658519, -17.7873278642563], [-149.300662682987, -17.787608803081], [-149.29975609634, -17.7884873725533], [-149.299444960094, -17.7886457189171], [-149.299241112209, -17.7888040651404], [-149.299133823848, -17.7889113318571], [-149.298860238529, -17.7897081683069], [-149.298651026226, -17.790336440693], [-149.29806630466, -17.7913835564238], [-149.29768543098, -17.7920526856993], [-149.297004149891, -17.7936207879934], [-149.296730564571, -17.7945197589929], [-149.296505259014, -17.7958579915268], [-149.296532081104, -17.7967211972658], [-149.296510623432, -17.7973749834496], [-149.296430157161, -17.7978346754263], [-149.296263860203, -17.7986519026834], [-149.296156571842, -17.7994129422017], [-149.296145843006, -17.8001280099326], [-149.296102927662, -17.8006030176272], [-149.295995639301, -17.8010780240574], [-149.295663045383, -17.8020535709327], [-149.295518206096, -17.8025387885967], [-149.295496748424, -17.8030240049411], [-149.295410917736, -17.8033815319295], [-149.295142696834, -17.8039433586066], [-149.294761823154, -17.8043468512195], [-149.294289754368, -17.8047401279513], [-149.293860600925, -17.8050057169422], [-149.292519496418, -17.8056288280225], [-149.291993783451, -17.8059659199949], [-149.291784571148, -17.8062315071608], [-149.291704104878, -17.8066809614639], [-149.291714833714, -17.8072172406848], [-149.291859673001, -17.8093010532099], [-149.292025969959, -17.8112214079022], [-149.292283462025, -17.8136780017098], [-149.292455123402, -17.8149905545913], [-149.292546318508, -17.8157617387429], [-149.29248730991, -17.8168597766464], [-149.292412208058, -17.8179424864685], [-149.292321012951, -17.8185246956353], [-149.291924046017, -17.8194797188347], [-149.291489528157, -17.8203785595246], [-149.290942357518, -17.8214459269566], [-149.290615128018, -17.8219361988499], [-149.290126965977, -17.822472432189], [-149.289499329068, -17.823049519599], [-149.287873910405, -17.8241372987507], [-149.286972688176, -17.8247245945935], [-149.286629365422, -17.8249901538173], [-149.286189483144, -17.8253731712316], [-149.285771058537, -17.8258021497581], [-149.285384820439, -17.8261749516864], [-149.285202430226, -17.8264762567845], [-149.28489129398, -17.8273750621857], [-149.284649895169, -17.8280491632609], [-149.284472869374, -17.828575164601], [-149.283646748998, -17.8299642092176], [-149.282568500974, -17.8315932587728], [-149.281956957318, -17.8325124651127], [-149.281243489721, -17.8333652800856], [-149.280798243024, -17.8338810524288], [-149.280535386541, -17.8342589440887], [-149.28034763191, -17.8345244890996], [-149.280052588918, -17.8349687654441], [-149.279848741033, -17.835264949058], [-149.278909967878, -17.836240308856], [-149.277772711256, -17.8374505646334], [-149.277177260854, -17.8380582427022], [-149.276581810453, -17.838665918697], [-149.275911258199, -17.8391357172042], [-149.274543331602, -17.8400344587203], [-149.273609922865, -17.8406421279699], [-149.272773073652, -17.8412191565137], [-149.272123979071, -17.8417297996828], [-149.271265672186, -17.8425264001016], [-149.27082042549, -17.8430574650669], [-149.270316170195, -17.8437825704416], [-149.269763635138, -17.8446200124097], [-149.269323752859, -17.8452889418827], [-149.268733666876, -17.8461110578675], [-149.268513725737, -17.8463663726179], [-149.268057750205, -17.8467953005739], [-149.267628596762, -17.8471374209405], [-149.267022417525, -17.8473876279564], [-149.265579389075, -17.8476991096682], [-149.263996885756, -17.8480463345404], [-149.262623594741, -17.8483884525018], [-149.261298583488, -17.8487918444769], [-149.260874794463, -17.8490931113048], [-149.260483191947, -17.8495475636903], [-149.259860919456, -17.8502624302622], [-149.259378121833, -17.8509364446849], [-149.259018705825, -17.8514725906978], [-149.258739756088, -17.8520444779973], [-149.258568094711, -17.8525244534189], [-149.25838034008, -17.8532290958407], [-149.258240865211, -17.8536835376612], [-149.258122848014, -17.8539388415454], [-149.257919000129, -17.854250311788], [-149.257661508064, -17.8546128420391], [-149.257033871154, -17.8551030226123], [-149.256384776573, -17.8553940666884], [-149.255290435295, -17.8558178668599], [-149.255108045082, -17.8558944571446], [-149.255038307647, -17.8558791390903]], ""type"": ""LineString""}",21427.628966320775
Arena Champ-de-Mars,"48.84921262083478, 2.3043781135832306","{""coordinates"": [[2.30113315983187, 48.8512362387561], [2.30381909198865, 48.8495771299918], [2.30408270530372, 48.8494120939163], [2.30619162080747, 48.8480858358721], [2.30644644231085, 48.847902896181], [2.30749203728409, 48.8472248275995], [2.30755662884799, 48.8471121713488]], ""type"": ""LineString""}",1001.0937430384097
GRP,"48.86348603681606, 2.3102717500371157","{""coordinates"": [[2.31018738917497, 48.8623577094286], [2.31017174950587, 48.8626917497499], [2.31030774815168, 48.8627710585721], [2.31030741577502, 48.8630684975958], [2.3102456485144, 48.8644649282794], [2.31046594416817, 48.8644708188682]], ""type"": ""LineString""}",388.0553890784133
Arena Paris Sud,"48.83323212834195, 2.287089000804371","{""coordinates"": [[2.28823490553902, 48.8328426936189], [2.28796374098568, 48.8329744379059], [2.28747781979061, 48.8331880879008], [2.28675638278595, 48.833490757857], [2.28650386905454, 48.833241771968], [2.28617042430254, 48.8333754204289], [2.2859799113937, 48.8332538691617]], ""type"": ""LineString""}",321.42330731825484
Trocadero,"48.86795965273836, 2.291016349598471","{""coordinates"": [[2.28839766589546, 48.8631047965147], [2.28792930676421, 48.8633323504172], [2.28775392777298, 48.8634978748355], [2.29005621642138, 48.8666902172809], [2.2902112458765, 48.8668933977025], [2.29037492880273, 48.8671233985089], [2.29057837745163, 48.8674131226782], [2.29146826743671, 48.8686141072465], [2.29164528405671, 48.8688590563672], [2.29176925336256, 48.8690263570572], [2.29332279891659, 48.871165213378], [2.29346006239032, 48.8713504368603], [2.29415915559894, 48.8723331392601], [2.29426100119597, 48.8724705623742], [2.29465015137705, 48.8730350169596]], ""type"": ""LineString""}",1886.266648779329
Invalides,"48.86177658914978, 2.31516301918341","{""coordinates"": [[2.31526504355493, 48.8626895696582], [2.31508221573336, 48.8610411189566], [2.31504701435063, 48.860865783031]], ""type"": ""LineString""}",309.60207859116264
Arena Champ-de-Mars,"48.85177357386357, 2.301310030338996","{""coordinates"": [[2.30163181464609, 48.8516777416775], [2.30151704678369, 48.8515819087551], [2.30107366620723, 48.8518410708756], [2.30135607766793, 48.8520235670423]], ""type"": ""LineString""}",130.7227319942339
CPL,"48.898301331487076, 2.3585540343141997","{""coordinates"": [[2.35881935255733, 48.8982937840995], [2.35833129157524, 48.8983038677464], [2.35834877818057, 48.8983491706087]], ""type"": ""LineString""}",62.27194819667091
Arena Paris Sud,"48.83677182719135, 2.278776317572578","{""coordinates"": [[2.27852269708125, 48.837044291494], [2.27879846639874, 48.8371221006851], [2.27900195008193, 48.8370052999359], [2.27905056241356, 48.8368266473177], [2.27890822705173, 48.8366925314937], [2.27870938945516, 48.8366596310103], [2.27848366168887, 48.8362225526936]], ""type"": ""LineString""}",222.71754708773577
Arena Champ-de-Mars,"48.85363539547768, 2.3039514267590024","{""coordinates"": [[2.30354423715613, 48.8535759636975], [2.30385726589667, 48.8537622009645], [2.30435444837212, 48.8534692372628], [2.30434988672713, 48.8534662375328]], ""type"": ""LineString""}",121.99226390877094
Arena Champ-de-Mars,"48.8502635851331, 2.29966399662573","{""coordinates"": [[2.29819483341959, 48.8492909315101], [2.30113315983187, 48.8512362387561]], ""type"": ""LineString""}",463.99338497225466
YDM,"48.929721732794434, 2.25514301834862","{""coordinates"": [[2.26083005737376, 48.9324760183825], [2.26049558623289, 48.9319225050411], [2.26003236905933, 48.9313548886735], [2.25912545869458, 48.9310854464085], [2.25785061006754, 48.9307239455515], [2.25659755277266, 48.93026938199], [2.25601460903535, 48.9300832601152], [2.25513202055691, 48.9298685033345], [2.25495223443089, 48.9298541862222], [2.25476155174047, 48.9294819386834], [2.2544292191028, 48.928894927401], [2.25408658728038, 48.9282421106155], [2.25365559267507, 48.9283651794151], [2.25232081474047, 48.9287159594185], [2.25134560995625, 48.9286014191718], [2.2495172814349, 48.9283646694866], [2.24915944382968, 48.928328602655], [2.24914219707453, 48.9285113286063]], ""type"": ""LineString""}",1722.9009339644174
La Concorde,"48.87146875218773, 2.330117926141881","{""coordinates"": [[2.32975937413892, 48.8703537195673], [2.33036815522045, 48.8715974240715], [2.33023999976537, 48.8718858171211], [2.33038979114408, 48.8720187184251], [2.32977946855352, 48.8723543823387]], ""type"": ""LineString""}",388.5392495515581
BCY,"48.83872664261635, 2.381125501573135","{""coordinates"": [[2.38107637405772, 48.8386862729877], [2.38117462908855, 48.838767012245]], ""type"": ""LineString""}",17.495962178329794
Parc des Princes,"48.84110323856969, 2.2550218815938528","{""coordinates"": [[2.25450556512215, 48.8424641372975], [2.25473056884631, 48.8413518886292], [2.25506717207484, 48.8410065642309], [2.25573314978884, 48.8398113918625]], ""type"": ""LineString""}",474.4977422737095
