Code site,Nom du parking velo,Adresse du parking velo,Geo Shape,geo_point
BCY,Parking vélo Arena Bercy,"Rue de Bercy, 75012 Paris","{""coordinates"": [[[2.382621051316024, 48.837718832670255], [2.383187776996464, 48.837340529362216], [2.38320893860962, 48.83735476123357], [2.383412822043127, 48.8372398436349], [2.383433724043157, 48.837209968457266], [2.383433952215249, 48.83719069536037], [2.383424430073255, 48.837172799328904], [2.383414816303083, 48.8371627559789], [2.38326657631489, 48.83707846886134], [2.383255780361804, 48.83707698476538], [2.383226618352737, 48.837073979323115], [2.38320170447663, 48.83707741994253], [2.38318213916975, 48.83708588579279], [2.382736842486781, 48.837439203389984], [2.382457664985046, 48.83765625527774], [2.382621051316024, 48.837718832670255]]], ""type"": ""Polygon""}","48.83737675380535, 2.382978322793239"
CDM,Parking vélo Champ de Mars,"Boulevard de Grenelle proche rue du Laos, 75015 Paris","{""coordinates"": [[[2.300113899869461, 48.84844026228031], [2.300410796664123, 48.84835207488065], [2.300390467789243, 48.84831773789923], [2.300427411005312, 48.84830801599989], [2.300449388288729, 48.848340138576326], [2.300753512928176, 48.84824607209893], [2.300732919050279, 48.84821318275119], [2.3007716526087, 48.84820175006672], [2.300794363815713, 48.8482334376311], [2.300932523808104, 48.84819070398656], [2.300871041313429, 48.84809202099088], [2.300724611430523, 48.84813646430447], [2.30074797122118, 48.84816896354864], [2.300707440133875, 48.84818014855201], [2.300684933742765, 48.84814841602707], [2.300382837499229, 48.84824154691094], [2.300404008993855, 48.848275936556156], [2.300364204643607, 48.848286650396275], [2.300340844852948, 48.848254151819624], [2.30004591896202, 48.848347537879405], [2.300113899869461, 48.84844026228031]]], ""type"": ""Polygon""}","48.848268621107124, 2.3004875074952014"
CPL,Parking vélo Arena la Chapelle,"56 Boulevard Ney, 75018 Paris","{""coordinates"": [[[2.359711611869047, 48.89867120501112], [2.360464383044595, 48.89868287235766], [2.360843149449773, 48.89864474004424], [2.360846612456909, 48.89860518485261], [2.359712064632256, 48.89858115751693], [2.359711611869047, 48.89867120501112]]], ""type"": ""Polygon""}","48.898633110107035, 2.3602296177615703"
CSB,Parking vélo Clichy-sous-Bois,"Allée de Gagny, 93390 Clichy-sous-Bois","{""coordinates"": [[[2.548927671856941, 48.90592848893272], [2.548868663322577, 48.90598137878522], [2.549053735135717, 48.90629695598544], [2.549177116943361, 48.90633926803232], [2.548927671856941, 48.90592848893272]]], ""type"": ""Polygon""}","48.9061387874727, 2.5490102217406982"
DEF,Parking vélo Paris la Defense Arena - Mandela,"Place Nelson Mandela, 92000 Nanterre","{""coordinates"": [[[2.218726478421028, 48.89818329154799], [2.218995395172835, 48.898122372134544], [2.218737380451512, 48.89767503024569], [2.218482999740341, 48.89774849253956], [2.218726478421028, 48.89818329154799]]], ""type"": ""Polygon""}","48.89793302410236, 2.218736781598876"
DEF,Parking vélo Paris la Defense Arena - Arche,"Place Carpeaux, 92800 Puteaux","{""coordinates"": [[[2.23846734228016, 48.89393330113339], [2.238362736160262, 48.893880398530435], [2.238134748232747, 48.89410259038596], [2.238213873639586, 48.894145794522075], [2.23846734228016, 48.89393330113339]]], ""type"": ""Polygon""}","48.89401104172076, 2.238299764339393"
DEF,Parking vélo Paris la Defense Arena - Arche,"Place Carpeaux, 92800 Puteaux","{""coordinates"": [[[2.237769968447019, 48.893605302202715], [2.23806232874947, 48.89380280747234], [2.238201803875445, 48.89389450566046], [2.238341279001386, 48.89375695772461], [2.237826294611955, 48.89354181794722], [2.237804836554754, 48.893592957949785], [2.237769968447019, 48.893605302202715]]], ""type"": ""Polygon""}","48.893717508667514, 2.2380680683107657"
DEF,Parking vélo Paris la Defense Arena - Arche,"Place Carpeaux, 92800 Puteaux","{""coordinates"": [[[2.238928681975798, 48.89408848331467], [2.238966233351295, 48.8940620321023], [2.238612182145005, 48.89389097917363], [2.238472707019028, 48.89401970966091], [2.238928681975798, 48.89408848331467]]], ""type"": ""Polygon""}","48.89400237317008, 2.2387020820441736"
EIF,Parking vélo Eiffel,"Boulevard de Grenelle proche rue St Saëns, 75015 Paris","{""coordinates"": [[[2.290253587967421, 48.85310711918312], [2.290427380533853, 48.85293162010658], [2.290375801965204, 48.852910203278086], [2.290400759858732, 48.85287798905963], [2.290458428106694, 48.85290026652386], [2.290637485145547, 48.852719464003236], [2.290498737654959, 48.8526594183279], [2.290314020331529, 48.85284100652019], [2.290364937740139, 48.85286064361544], [2.290338563203397, 48.8528909456799], [2.290284129788774, 48.852871017781816], [2.290104880855277, 48.85305099749321], [2.290194554280199, 48.853086167613064], [2.290253587967421, 48.85310711918312]]], ""type"": ""Polygon""}","48.85288515408305, 2.2903719086611605"
ELA,Parking vélo colline d'Elancourt,"Terrain de sport du collège la Clef de Saint-Pierre, 5 Rue de Dublin, 78990 Élancourt","{""coordinates"": [[[1.969157260223897, 48.791781003445], [1.968825756731211, 48.79131273573607], [1.967534479714261, 48.79171082505618], [1.967828385119029, 48.79217668869648], [1.969157260223897, 48.791781003445]]], ""type"": ""Polygon""}","48.791745390053954, 1.9683397462143506"
GRP,Parking vélo Grand Palais,"Avenue des Champs-Elysées, 75008 Paris","{""coordinates"": [[[2.310905073018399, 48.86846140223751], [2.311598235549482, 48.868249806010596], [2.311517438377918, 48.86814083527988], [2.31083287631734, 48.8683567627032], [2.310905073018399, 48.86846140223751]]], ""type"": ""Polygon""}","48.86830130448024, 2.3112165256455324"
INV / ALX,Parking vélo Invalides,"Quai d'Orsay – de la rue Malar à rue Surcouf, 75007 Paris","{""coordinates"": [[[2.309034979035284, 48.86241419675313], [2.307918028531927, 48.86239237920526], [2.30791123311942, 48.862451917047686], [2.309038116938527, 48.86246951463789], [2.309034979035284, 48.86241419675313]]], ""type"": ""Polygon""}","48.862431918085775, 2.308468437876563"
INV / ALX,Parking vélo Invalides,"Quai d'Orsay – de la rue Malar à rue Surcouf, 75007 Paris","{""coordinates"": [[[2.30780704478122, 48.86244686074306], [2.307809280064542, 48.862395394920746], [2.306693928040028, 48.86237245584341], [2.306698398442952, 48.86242392168932], [2.30780704478122, 48.86244686074306]]], ""type"": ""Polygon""}","48.86240963756407, 2.3072524114078905"
LBO,Parking vélo le Bourget,"Rue Anizan Cavillon, 93350 Le Bourget","{""coordinates"": [[[2.419635135587716, 48.93484879439117], [2.419792918850214, 48.93485983124597], [2.419876923827943, 48.934614140683564], [2.419618334592169, 48.93458150981478], [2.419635135587716, 48.93484879439117]]], ""type"": ""Polygon""}","48.93471549617023, 2.419731467829052"
LCO,Parking vélo Concorde - Madeleine,"Place de la Madeleine, 75008 Paris","{""coordinates"": [[[2.324578589603115, 48.87090564339856], [2.324887043223908, 48.87077920567855], [2.324641174330636, 48.87055867395198], [2.324328249794656, 48.87066452963293], [2.324578589603115, 48.87090564339856]]], ""type"": ""Polygon""}","48.870728458425695, 2.3246078215981987"
LCO,Parking vélo Concorde - Rivoli,"Rue de Rivoli, 75001 Paris","{""coordinates"": [[[2.333418893214112, 48.86334659261771], [2.333360969844601, 48.86326933476198], [2.332361793517003, 48.86358407828346], [2.332424257870274, 48.863670089534814], [2.333418893214112, 48.86334659261771]]], ""type"": ""Polygon""}","48.86347022445172, 2.332883082780797"
LCS,Parking vélo La Courneuve - Live Site,"Avenue Waldeck Rochet, 93120 La Courneuve","{""coordinates"": [[[2.394306829631744, 48.944297425929186], [2.394180793273314, 48.94422531653492], [2.393918744815741, 48.94407922542822], [2.393901871562866, 48.94407847662593], [2.393889786665548, 48.944079974230455], [2.393882034089903, 48.94408326896023], [2.393873825480399, 48.944087761773226], [2.393867897040202, 48.944093901950296], [2.39386675695555, 48.94410153973049], [2.393873141429607, 48.94412789755125], [2.394240020671058, 48.94434325240596], [2.394306829631744, 48.944297425929186]]], ""type"": ""Polygon""}","48.94420943083536, 2.394081334641242"
LGN,Parking vélo Golf National,"Rue Georges Guynemer, à l'ouest de la place du Général de Gaulle, 78280 Guyancourt","{""coordinates"": [[[2.066839687677672, 48.757690139896184], [2.06882387052214, 48.7574805554341], [2.068808888206562, 48.757422101617244], [2.066829875824121, 48.75763695512748], [2.066839687677672, 48.757690139896184]]], ""type"": ""Polygon""}","48.7575556452516, 2.067842408225771"
NPA,Parking vélo Arena Paris Nord,"Avenue des Nations, 93420 Villepinte","{""coordinates"": [[[2.513726046588308, 48.97328082431619], [2.513889124948346, 48.97331181114715], [2.51393847749175, 48.97320617339381], [2.513775400030043, 48.973183636988445], [2.513726046588308, 48.97328082431619]]], ""type"": ""Polygon""}","48.973245980943936, 2.513833214836547"
PDP,Parking vélo Parc des Princes,"Place du Général Stefanik, 75016 Paris","{""coordinates"": [[[2.255916048577301, 48.83956053770677], [2.25601661856662, 48.83958146300938], [2.256036769575072, 48.83953617785753], [2.256252966216186, 48.83958106924106], [2.256232776580193, 48.83962643771759], [2.256339697658553, 48.83964868382942], [2.256373125766905, 48.83957629849508], [2.256334274529209, 48.83952650569162], [2.256022754958326, 48.83946515222439], [2.255952004544863, 48.839485106742785], [2.255916048577301, 48.83956053770677]]], ""type"": ""Polygon""}","48.83954402351643, 2.2561581104655772"
PDP,Parking vélo Parc des Princes,"Place du Général Stefanik, 75016 Paris","{""coordinates"": [[[2.256338636748212, 48.83964724888278], [2.256232776580193, 48.83962643771759], [2.256209421281121, 48.83967681456941], [2.255993779798846, 48.83963085666909], [2.25601661856662, 48.83958146300938], [2.255916048577301, 48.83956053770677], [2.255826982413521, 48.83974739055867], [2.255930724354116, 48.83976494866261], [2.255948555912506, 48.83971797095052], [2.256168012539785, 48.83976181153475], [2.256152661229886, 48.839802509042904], [2.256260248858195, 48.83982071749252], [2.256338636748212, 48.83964724888278]]], ""type"": ""Polygon""}","48.83969487495625, 2.25608235745661"
PDP,Parking vélo Parc des Princes,"Place du Général Stefanik, 75016 Paris","{""coordinates"": [[[2.256260248858195, 48.83982071749252], [2.256152661229886, 48.839802509042904], [2.256127131109512, 48.83986043112872], [2.255910422428686, 48.839813393790834], [2.255930724354116, 48.83976494866261], [2.255826982413521, 48.83974739055867], [2.255788100633087, 48.83982895761644], [2.255820837936976, 48.8398689952458], [2.256152557025322, 48.83993545120722], [2.2562182184827, 48.83991173007937], [2.256260248858195, 48.83982071749252]]], ""type"": ""Polygon""}","48.83985204547089, 2.256015765970983"
RGA,Parking vélo Roland Garros,"Sud de l'Avenue de Saint-Cloud, proche du Carrefour des Anciens Combattants, 75016 Paris","{""coordinates"": [[[2.243207142078391, 48.849163026361694], [2.243330996399874, 48.84910516468917], [2.243003356561243, 48.84879969547104], [2.242879502239768, 48.84885755631428], [2.243207142078391, 48.849163026361694]]], ""type"": ""Polygon""}","48.84898136083955, 2.2431052494317805"
RGA / PDP,Parking vélo Roland Garros / Parc des Princes - Sarrail,"Avenue du Général Sarrail, 75016 Paris","{""coordinates"": [[[2.255032425239644, 48.84381243672179], [2.255540327311395, 48.84496163568723], [2.255621766778422, 48.84494626440785], [2.255277338325473, 48.84416725519827], [2.25534838877624, 48.84415481479392], [2.255190119097889, 48.84378504256762], [2.255032425239644, 48.84381243672179]]], ""type"": ""Polygon""}","48.84428904970609, 2.2553058482373"
SPA,Parking vélo Arena Paris Sud,"Intersection Avenue de la Porte de la Plaine et Avenue Albert Bartholomé, 75015 Paris","{""coordinates"": [[[2.29251651603334, 48.8295638406809], [2.293022392404106, 48.82924602282533], [2.293044025632768, 48.829232062452746], [2.293092823915669, 48.829221643176076], [2.293141366178658, 48.82923013933086], [2.293274253958649, 48.829185024005184], [2.293238498315377, 48.829084010235704], [2.293379056809584, 48.82905797763427], [2.293354870568866, 48.829007624994084], [2.292571438131487, 48.829128695728436], [2.292536331970182, 48.829126108497256], [2.292537883360671, 48.829245154109074], [2.292522068520102, 48.82924762306095], [2.292519041197586, 48.82933882931057], [2.292641240822307, 48.82933673055745], [2.292702103479454, 48.8293762153684], [2.292512566141035, 48.829496354407155], [2.29251651603334, 48.8295638406809]]], ""type"": ""Polygon""}","48.82921559009144, 2.2928642728910265"
STA,Parking vélo Stade de France - Clinique St Denis,"16 Boulevard Anatole France, 93200 St-Denis","{""coordinates"": [[[2.354785951067595, 48.92899075978689], [2.35526660274519, 48.92936293367368], [2.355395349291729, 48.92930654399434], [2.354966195334407, 48.92891181327543], [2.354785951067595, 48.92899075978689]]], ""type"": ""Polygon""}","48.92913236119147, 2.355090888412855"
STA,Parking vélo Stade de France - Wilson Landy,"Avenue du président Wilson, 93200 St-Denis","{""coordinates"": [[[2.357645635366663, 48.91469061857863], [2.357988957993525, 48.91473010338649], [2.358066205921429, 48.91402501890691], [2.357679968078499, 48.91399681541517], [2.357645635366663, 48.91469061857863]]], ""type"": ""Polygon""}","48.91435403598904, 2.357846381867379"
STA,Parking vélo Stade de France - Francs Moisins,"Cours du Ru de Montfort, 93200 St-Denis","{""coordinates"": [[[2.366809888569137, 48.92707064005645], [2.367281957742501, 48.927375158738336], [2.367436452700019, 48.927251095948826], [2.367067380763853, 48.9269183809044], [2.366809888569137, 48.92707064005645]]], ""type"": ""Polygon""}","48.927145016347346, 2.36713509792942"
STA,Parking vélo Stade de France - City Stade,"Rue Ahmed Boughera el Ouafi, 93200 St-Denis","{""coordinates"": [[[2.363247916652294, 48.92299330299945], [2.364475294706482, 48.923049700398614], [2.364475294706482, 48.92280719296014], [2.36329083186837, 48.922767714536675], [2.363247916652294, 48.92299330299945]]], ""type"": ""Polygon""}","48.92290545300918, 2.363878777089623"
TRO,Parking vélo Trocadéro,"Allée Maria Callas,? 75016 Paris","{""coordinates"": [[[2.285979266403323, 48.86311430868915], [2.285964001331708, 48.863055417129175], [2.285191359457531, 48.863142595264186], [2.285206623630839, 48.8632014879035], [2.285979266403323, 48.86311430868915]]], ""type"": ""Polygon""}","48.86312845237098, 2.2855853116688833"
VEL,Parking vélo Vélodrome National,"Institut Franco-Japonais, 7 Rue Jean Pierre Timbaud, 78180 Montigny-le-Bretonneux","{""coordinates"": [[[2.034308655594872, 48.79096375582177], [2.034400713867821, 48.79094778561878], [2.034484114622942, 48.79093181541068], [2.03436002353401, 48.790674390164796], [2.034336359651933, 48.79068009384041], [2.034289031887789, 48.79068617776027], [2.034221503248692, 48.790684276535366], [2.034161477791718, 48.79067248893944], [2.034131465063227, 48.790664884037334], [2.034308655594872, 48.79096375582177]]], ""type"": ""Polygon""}","48.790811131665706, 2.0343195899054187"
VER,Parking vélo Versailles - Trianon Ouest,"Croisement Allée de Fontenay et allée de Gally, 78000 Versailles","{""coordinates"": [[[2.092805483502454, 48.815799063247574], [2.094047548727509, 48.81598452955941], [2.094120271877304, 48.815853537713664], [2.092851656930893, 48.815659202952084], [2.092805483502454, 48.815799063247574]]], ""type"": ""Polygon""}","48.81582329504354, 2.0934528381945516"
VER,Parking vélo Versailles - Trianon Est,"Croisement Avenue de Trianon et allée Saint-Antoine, 78000 Versailles?","{""coordinates"": [[[2.111169810329025, 48.81258293788849], [2.111805849305798, 48.813631944960726], [2.111976690991026, 48.81359165741324], [2.111269083200174, 48.81239821915302], [2.111169810329025, 48.81258293788849]]], ""type"": ""Polygon""}","48.81304314213338, 2.111552584582703"
VIL,Parking vélo La Villette - Porte de Pantin,"187 Av. Jean Jaurès, 75019 Paris","{""coordinates"": [[[2.389230446998819, 48.88810311689628], [2.390109942591661, 48.888327902634565], [2.390154866992791, 48.888247930901215], [2.389283406658687, 48.88802506605631], [2.389230446998819, 48.88810311689628]]], ""type"": ""Polygon""}","48.88817603682941, 2.389694522367423"
VIL,Parking vélo La Villette - Pantin,"Croisement Gal de l'Ourq et Quai Kathrine Switzer, 75019 Paris","{""coordinates"": [[[2.396537784343532, 48.895802653646236], [2.396717481948052, 48.89583338890225], [2.396886952859629, 48.895531798385434], [2.396789068798631, 48.89550010246111], [2.396537784343532, 48.895802653646236]]], ""type"": ""Polygon""}","48.89567956581598, 2.396723319326573"
VIL,Parking vélo La Villette - Ecluse,"26 Av. Corentin Cariou, 75019 Paris","{""coordinates"": [[[2.385234397901236, 48.894696754732976], [2.385609832459785, 48.89483088154965], [2.385852841407636, 48.89458578754808], [2.385421369118473, 48.89438040702868], [2.385234397901236, 48.894696754732976]]], ""type"": ""Polygon""}","48.894616790338056, 2.385529006448394"
VIL,Parking vélo La Villette - Canal,"Quai de Metz, 75019 Paris","{""coordinates"": [[[2.386272010826868, 48.891456546221114], [2.386532061018768, 48.89157565558709], [2.386979113595864, 48.89083602025683], [2.386879768578731, 48.89080336078221], [2.386272010826868, 48.891456546221114]]], ""type"": ""Polygon""}","48.891223368305766, 2.3866241276748617"
VIL,Parking vélo La Villette - Cité de la Musique,"Place de la Porte de Pantin, 75019 Paris","{""coordinates"": [[[2.394963238869798, 48.889714779470395], [2.395029347134868, 48.88975968722024], [2.395144397430444, 48.88982140529186], [2.395233515754641, 48.88985214422516], [2.395511097420158, 48.88988384373039], [2.395543238455107, 48.88976473033402], [2.395531550806036, 48.889741676095454], [2.395473112560662, 48.889673473910946], [2.395420518139826, 48.88959086268955], [2.395389838061013, 48.889507290733725], [2.395007067553823, 48.88937088563217], [2.394884347238543, 48.88933918580174], [2.394818604212503, 48.88946022140972], [2.394847823335182, 48.889571650758015], [2.394901878712152, 48.88965426201116], [2.394963238869798, 48.889714779470395]]], ""type"": ""Polygon""}","48.88962367741815, 2.395172656280287"
VNS,Parking vélo Vaires-sur-Marne - Base de Loisirs,"Carrefour des Cantines, 77200 Torcy","{""coordinates"": [[[2.646658547293181, 48.86064823319584], [2.647370844572866, 48.861002790345815], [2.647456159742045, 48.86094241576843], [2.646743766077324, 48.86058667245925], [2.646658547293181, 48.86064823319584]]], ""type"": ""Polygon""}","48.860794695057955, 2.6470566868464425"
VNS,Parking vélo Vaires-sur-Marne - Canal,"Quai du Port, 77360 Vaires-sur-Marne","{""coordinates"": [[[2.641011300042404, 48.865602854474005], [2.640998059773415, 48.865671989862456], [2.642016364689231, 48.86576583499127], [2.642032606367028, 48.86569092521159], [2.641011300042404, 48.865602854474005]]], ""type"": ""Polygon""}","48.86568351510225, 2.6415215864851076"
YDM,Parking vélo Yves du Manoir,"Rue Robert Schuman, 92700 Colombes","{""coordinates"": [[[2.241699099786735, 48.9279201857114], [2.241650819831798, 48.92797305287434], [2.242339252732935, 48.92825853340662], [2.24249035205868, 48.928097583667885], [2.243227512275773, 48.92819098185433], [2.243242264409342, 48.92815749937207], [2.242442071205418, 48.92805763962843], [2.241699099786735, 48.9279201857114]]], ""type"": ""Polygon""}","48.92808560826925, 2.242257352861519"