Site,Nom Site,Sports,point_geo
ALX,Pont Alexandre III,"Cyclisme sur route - arrivée Contre-la-montre (CRD), Natation marathon (OWS), Triathlon (TRI)","48.8637, 2.3134"
ALX,Pont Alexandre III,Para Triathlon (PTRI),"48.8637, 2.3134"
AQC,Centre Aquatique,"Natation artistique (SWA), Plongeon (DIV), Water-polo (WPO)","48.923723, 2.35578"
BCY,Arena Bercy,Basketball fauteuil (PWBK),"48.83863, 2.378597"
BCY,Arena Bercy,"Basketball (BKB), Gymnastique artistique (GAR), Gymnastique trampoline (GTR)","48.83863, 2.378597"
BOR,Stade de Bordeaux,Football (FBL),"44.8974, -0.5616"
CDM,Arena Champ de Mars,"Para Judo (PJUD), Rugby fauteuil (PWRU)","48.8531, 2.30252"
CDM,Arena Champ de Mars,"Judo (JUD), Lutte (WRE)","48.8531, 2.30252"
CPL,Arena Porte de la Chapelle,"Badminton (BDM), Gymnastique rythmique (GRY)","48.8997292, 2.3605141"
CPL,Arena Porte de la Chapelle,"Para badminton (PBDM), Para Haltérophilie (PPWL)","48.8997292, 2.3605141"
CSB,Clichy-sous-Bois,Para cyclisme sur route (PCRD),"48.906345, 2.553544"
CTX,Centre national de tir de Châteauroux,Tir (SHO),"46.8157, 1.7582"
CTX,Centre national de tir de Châteauroux,Para Tir Sportif (PSHO),"46.8157, 1.7582"
DEF,Paris La Défense Arena,Para Natation (PSWM),"48.8954, 2.2294"
DEF,Paris La Défense Arena,"Natation (SWM), Water-polo (WPO)","48.8954, 2.2294"
EIF,Stade Tour Eiffel,Cécifoot (PFBB),"48.85613, 2.2978"
EIF,Stade Tour Eiffel,Volley-ball de plage (VBV),"48.85613, 2.2978"
ELA,Colline d’Elancourt,Cyclisme VTT (MTB),"48.78981063, 1.9642379"
GRP,Grand Palais,"Escrime fauteuil (PWFE), Para Taekwondo (PTKW)","48.86616355, 2.3125474"
GRP,Grand Palais,"Escrime (FEN), Taekwondo (TKW)","48.86616355, 2.3125474"
HDV,Hôtel de Ville,Athlétisme - départ Marathon (ATM),"48.8563881, 2.35222203"
INV,Invalides,"Athlétisme - arrivée Marathon (ATM), Cyclisme sur route - départ Contre-la-montre (CRD), Tir à l'arc (ARC)","48.85704803, 2.312835932"
INV,Invalides,"Para Tir à l'arc (PARC), Para Athlétisme - arrivée Marathon (PATM)","48.85704803, 2.312835932"
LBO,Site d’escalade du Bourget,Escalade (CLB),"48.93693402, 2.41997931"
LC1,La Concorde 1,"Basketball 3x3 (BK3), Breaking (BKG)","48.86640642, 2.32119515"
LC2,La Concorde 2,BMX freestyle (BMF),"48.86504456, 2.32119516"
LC3,La Concorde 3,Skateboard (SKB),"48.86486788, 2.32139191"
LC4,La Concorde 4,Skateboard (SKB),"48.86573765, 2.3220383"
LCO,La Concorde,Cérémonie d'ouverture Paralympique (POC),"48.86570357457259, 2.321214226315764"
LCO,La Concorde,Parc Urbain la Concorde (FCO),"48.86570357457259, 2.321214226315764"
LCS,La Courneuve,Para Athlétisme - départ Marathon (PATM),"48.9372382, 2.3994101"
LGN,Golf National,Golf (GLF),"48.7532, 2.0758"
LIL,Stade Pierre Mauroy,"Basketball (BKB), Handball (HBL)","50.61190661, 3.13047318"
LYO,Stade de Lyon,Football (FBL),"45.76514165, 4.98199275"
MAM,Marina de Marseille,Voile (SAL),"43.2661, 5.3678"
MRS,Stade de Marseille,Football (FBL),"43.2698, 5.3959"
NAN,Stade de la Beaujoire,Football (FBL),"47.25593494, -1.52469927"
NIC,Stade de Nice,Football (FBL),"43.7051, 7.1926"
NPA,Arena Paris Nord,"Boxe (BOX), Pentathlon moderne (MDN)","48.9721, 2.5149"
NPA,Arena Paris Nord,Volleyball assis (PVBS),"48.9721, 2.5149"
PDP,Parc des Princes,Football (FBL),"48.84156974, 2.253048697"
RGA,Stade Roland Garros,Tennis fauteuil (PWTE),"48.845968, 2.253522"
RGA,Stade Roland Garros,"Tennis (TEN), Boxe (BOX)","48.845968, 2.253522"
SP1,Arena Paris Sud 1,Boccia (PBOC),"48.832968, 2.2840069"
SP1,Arena Paris Sud 1,Volley-ball (VVO),"48.832968, 2.2840069"
SP4,Arena Paris Sud 4,Tennis de table para (PTTE),"48.830184, 2.289033"
SP4,Arena Paris Sud 4,Tennis de table (TTE),"48.830184, 2.289033"
SP6,Arena Paris Sud 6,Goalball (PGBL),"48.829381, 2.290865"
SP6,Arena Paris Sud 6,"Handball (HBL), Haltérophilie (WLF)","48.829381, 2.290865"
STA,Stade de France,"Athlétisme (ATH), Rugby à 7 (RU7), Cérémonie de clôture (OCC)","48.924475, 2.360127"
STA,Stade de France,"Para Athlétisme (PATH), Cérémonie de clôture Paralympique (PCC)","48.924475, 2.360127"
STE,Stade Geoffroy-Guichard,Football (FBL),"45.4607, 4.3902"
TAH,Tahiti Teahupo'o,Surf (SRF),"-17.86693, -149.25208"
TRO,Trocadéro,"Athlétisme marche (ATW), Cyclisme sur route - Course sur route (CRD)","48.85972558, 2.29221884"
VE1,Vélodrome National de Saint-Quentin-en-Yvelines,Cyclisme sur piste (CTR),"48.78800979, 2.03498269"
VE1,Vélodrome National de Saint-Quentin-en-Yvelines,Para Cyclisme sur piste (PCTR),"48.78800979, 2.03498269"
VE2,Stade BMX de Saint-Quentin-en-Yvelines,BMX Racing (BMX),"48.78800979, 2.03498269"
VER,Château de Versailles,Para Equitation (PEQU),"48.81432266, 2.08452588"
VER,Château de Versailles,"Sports équestres - dressage (EQD), Sports équestres - concours complet (EQE), Sports équestres - saut d'obstacles (EQJ), Pentathlon moderne (MPN)","48.81432266, 2.08452588"
VN1,Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes,"Aviron (ROW), Canoë - course en ligne (CSP)","48.8623, 2.6348"
VN1,Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes,"Para Aviron (PROW), Para Canoë (PCSP)","48.8623, 2.6348"
VN2,Stade nautique de Vaires-sur-Marne - stade d'eaux vives,Canoë-kayak slalom (CSL),"48.86223209583829, 2.6395463613678416"
YDM,Stade Yves-du-Manoir,Hockey (HOC),"48.92934371, 2.24777122"